Melt temperature,Mold temperature,time_to_fill,ZDx - Plasticizing time,ZUx - Cycle time,SKx - Closing force,SKs - Clamping force peak value,Ms - Torque peak value current cycle,Mm - Torque mean value current cycle,APSs - Specific back pressure peak value,APVs - Specific injection pressure peak value,CPn - Screw position at the end of hold pressure,SVo - Shot volume,quality,isolation_outlier,lof_outlier,Pressure_Temp_Ratio,Efficiency_Ratio,Power_Index,Pressure_Difference,Temp_Interaction,Volume_Fill_Ratio,Melt temperature_squared,Mold temperature_squared,APVs - Specific injection pressure peak value_squared,time_to_fill_squared,Process_Stability
105.841,81.171,1.9867778568164165,1.463255402256019,75.73,893.3,917.1,114.2,106.2,4.993828175779875,6.792007670437824,8.81,18.76,3.0,1,1,0.06417180176337926,51.7544646568473,12128.04,1.7981794946579495,8591.219811,9.442424544664872,11202.317280999998,6588.731241000001,46.13136819528624,3.947286252336033,1.103979341500853
105.963,81.193,2.075433520282297,1.4279160358107101,74.8,908.8,923.4,116.3,106.9,5.001930853466109,6.831629888592646,8.86,18.71,1.0,1,1,0.0644718428941484,52.384032480965686,12432.470000000001,1.829699035126537,8603.453859,9.014984010403328,11228.157368999999,6592.303249,46.67116693471237,4.3074242971113685,1.1054104385433272
105.616,81.04,1.9867778568164165,1.556037135706985,75.75,903.5,923.0,107.0,99.197776241856,4.999237249143887,6.733565568917726,8.649999999999999,18.909999999999997,3.0,1,1,0.06375516558966185,48.681357444327965,10614.162057878593,1.734328319773839,8559.120640000001,9.51792367481944,11154.739456,6567.481600000001,45.3409052709143,3.947286252336033,1.1019334974957138
106.107,81.384,2.0622953828448654,1.4350845252893227,74.81,911.8,927.8,116.6,104.7,4.987707789452551,6.810913927532582,8.82,18.75,2.0,1,1,0.06418911030876928,52.129333625779154,12208.02,1.8232061380800308,8635.412088,9.09181107419007,11258.695449,6623.355456,46.388548528257296,4.25306224610325,1.1332002171256494
105.40700000000004,81.154,2.1201035233987255,1.4060969884160703,74.81,919.3,936.5,121.7,110.5,4.991792206294776,6.844176297339265,8.969999999999999,18.590000000000003,2.0,-1,1,0.06493094668607648,53.20401125691295,13447.85,1.852384091044489,8554.199678000003,8.768439745903768,11110.635649000009,6585.971715999999,46.84274918906061,4.49483894992769,1.1219637408553529
106.78499999999997,81.91749999999999,2.237726520645549,1.3762440252663892,75.62,902.4,918.6,114.5,102.6,4.9883896851489355,6.779580940258629,8.8,18.77,3.0,1,1,0.06348813916054344,54.946650893080395,11747.699999999999,1.7911912551096938,8747.560237499996,8.387977631236701,11403.036224999993,6710.476806249998,45.96271772551808,5.007419981200435,1.1360186999709676
105.678,81.008,1.9867778568164165,1.556037135706985,75.75,895.2,914.5,106.4,99.197776241856,5.001930853466109,6.733565568917726,8.649999999999999,18.909999999999997,3.0,1,1,0.06371776120779846,48.681357444327965,10554.64339213348,1.7316347154516167,8560.763423999999,9.51792367481944,11167.839683999999,6562.296063999999,45.3409052709143,3.947286252336033,1.0957294332955312
106.096,81.91749999999999,2.237726520645549,1.3762440252663892,75.64,901.2,915.6,113.6,104.0,4.994505912166372,6.79469855668984,8.85,18.71,4.0,1,1,0.06404292863717614,54.96118319958478,11814.4,1.8001926445234684,8691.119079999999,8.36116470327324,11256.361216000001,6710.476806249998,46.167928476283,5.007419981200435,1.1097613438492266
105.449,81.162,2.094822643718138,1.556037135706985,74.82,908.6,919.9,107.3,104.9,5.001258132283659,6.829685623560215,8.85,18.909999999999997,1.0,1,1,0.06476766610930607,48.08368533313027,11255.77,1.828427491276556,8558.451738,9.027017182913537,11119.491601,6587.270244000001,46.644605716665076,4.38828190863425,1.0356001869226732
106.038,81.91749999999999,2.237726520645549,1.3686394258811698,75.65,901.4,918.6,119.9,105.9,4.986342601527212,6.802505868263039,8.92,18.65,4.0,1,1,0.06415158592450856,55.27387167828688,12697.410000000002,1.8161632667358276,8686.367864999998,8.334351775309775,11244.057444,6710.476806249998,46.27408608775308,5.007419981200435,1.1538041862485238
106.27411779712408,81.402,2.094822643718138,1.556037135706985,74.81,880.3883547931116,919.9,120.5,104.9,4.997212273764115,6.829685623560215,8.68,18.89,1.0,1,1,0.06426480656934735,48.07725875128944,12640.45,1.8324733497960999,8650.925736921494,9.017469835284864,11294.188113557004,6626.285604000001,46.644605716665076,4.38828190863425,1.200267061909215
106.093,81.39,1.9578387199205871,1.358409157630355,75.61,904.9,918.8,116.3,106.0,4.983606621708336,6.821325550983749,8.969999999999999,18.590000000000003,4.0,1,1,0.06429571744586117,55.66069661360064,12327.8,1.8377189292754128,8634.90927,9.495164137296275,11255.724649000002,6624.3321000000005,46.53048227250375,3.833132453220283,1.1140232320052041
105.902,81.027,2.094822643718138,1.4324375550131092,74.82,908.6,904.0,105.2,106.41378911793213,4.991112627607392,6.827954208778582,8.76,18.73,1.0,1,1,0.06447427063491325,52.232643397369785,11194.73061520646,1.83684158117119,8580.921354,8.941091054255452,11215.233604000001,6565.374729,46.62095867717715,4.38828190863425,0.9835886990192338
106.064,81.91749999999999,2.237726520645549,1.3737155789130306,75.62,901.4,918.8,118.7,105.3,4.993828175779875,6.789309523775655,8.86,18.71,4.0,1,1,0.06401144142947329,55.04778511708753,12499.11,1.7954813479957803,8688.497719999998,8.36116470327324,11249.572095999998,6710.476806249998,46.094723809630814,5.007419981200435,1.1490152176491943
